线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4334,151路,900001,13,866.20,177.90,1,36.10,25.10,11.00,195.30,65.10,350.00,251.00,99.00
4334,151路,900002,12,867.36,171.90,1,30.10,21.10,9.00,117.80,58.90,292.00,211.00,81.00
4334,151路,900003,12,864.90,167.50,1,26.10,17.10,9.00,170.00,85.00,252.00,171.00,81.00
4334,151路,900004,13,865.12,166.30,1,24.10,13.10,11.00,249.30,83.10,230.00,131.00,99.00
4334,151路,900005,12,865.35,171.20,2,20.60,11.60,9.00,154.00,77.00,199.50,118.50,81.00
4334,151路,900006,13,865.49,175.20,2,25.70,14.70,11.00,225.00,75.00,265.20,166.20,99.00
4334,151路,900007,12,865.01,180.30,2,30.60,21.60,9.00,138.00,69.00,317.60,236.60,81.00
4334,151路,900008,13,865.03,185.80,1,38.50,27.50,11.00,201.00,67.00,429.00,330.00,99.00
4334,151路,900009,12,867.01,193.40,2,48.30,39.30,9.00,122.40,61.20,513.30,432.30,81.00
4334,151路,900010,13,865.44,194.70,1,53.00,42.00,11.00,187.50,62.50,603.00,504.00,99.00
4334,151路,900011,12,864.96,202.10,1,58.20,49.20,9.00,120.80,60.40,622.20,541.20,81.00
4334,151路,900012,13,864.79,204.80,1,63.20,52.20,11.00,187.20,62.40,725.40,626.40,99.00
4334,151路,900013,12,867.58,214.20,1,67.80,58.80,9.00,120.60,60.30,727.80,646.80,81.00
4334,151路,900014,13,866.52,219.60,1,73.00,62.00,11.00,187.50,62.50,843.00,744.00,99.00
4334,151路,900015,12,500.25,166.90,0,9.00,0.00,9.00,121.00,60.50,81.00,0.00,81.00
4334,151路,900016,10,109.72,16.90,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
